"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000129116",22899.4584204201,0.815930945490572,0.189118754666522,4.31438408596399,1.60048481594275e-05,0.000328522853400026
"ENSG00000148180",14016.8661255889,0.471072466574807,0.15831215704266,2.97559249633537,0.00292423149932953,0.0250923279193745
"ENSG00000104964",5695.70092228863,0.440476407646654,0.0879480550579356,5.00837008114041,5.48929094701462e-07,1.63790914095537e-05
"ENSG00000155827",1306.71177644312,-0.34980447755307,0.0904862338820014,-3.8658308843888,0.000110711636906691,0.00172951002631324
"ENSG00000106105",2909.4455099121,-0.270508737733199,0.0934216272935642,-2.89556867686712,0.00378472204654424,0.0307328368868069
"ENSG00000125965",457.61167264081,-1.06914716219801,0.248377802408913,-4.3045197752327,1.67348344401745e-05,0.000341192150149541
"ENSG00000101255",287.952541212551,-0.900660132610062,0.261826898148644,-3.43990682003474,0.000581914494731785,0.00673027712255538
"ENSG00000148158",808.250344258156,-0.46174967024578,0.168311251514426,-2.74342722837043,0.00608015230396343,0.044030897105964
"ENSG00000114650",1581.25671268365,0.317230764125208,0.0695609421432094,4.56047250585113,5.10386449521232e-06,0.000119707383075305
"ENSG00000084764",313.392834137857,-0.693711465069941,0.162628651892002,-4.26561652574368,1.99350933251862e-05,0.000398385854456298
"ENSG00000077585",682.116807327888,0.42766122849602,0.133280762787837,3.20872434663952,0.00133325248421369,0.013268427259532
"ENSG00000138074",455.640505436127,1.11397075161882,0.151183761703236,7.36832275549191,1.72788059151447e-13,1.85385656655538e-11
"ENSG00000108830",207.111531735843,-1.83638881349876,0.263009472309419,-6.98221549731233,2.90560969177849e-12,2.60095049806065e-10
"ENSG00000134363",2787.31047736409,-1.25547847664206,0.271632122601565,-4.62198087846782,3.80093056301378e-06,9.20297817282964e-05
"ENSG00000154654",1359.99538473703,-0.853908748956665,0.198536827083569,-4.3010093467306,1.70021887748512e-05,0.000346176462699797
"ENSG00000100154",2015.1953004522,-0.805081128733834,0.163591159524367,-4.92129972716477,8.59713486512431e-07,2.42055221743814e-05
"ENSG00000148400",251.049284299741,-0.626094077583852,0.218068631256161,-2.87108729933922,0.00409062537613898,0.0327250030091118
"ENSG00000163947",561.570778250102,-0.875260115481452,0.232892888582535,-3.75820885218343,0.000171134014060384,0.00248218155772339
"ENSG00000147526",8590.20817555019,0.829502273676785,0.140571358688893,5.90093374221848,3.61450052387614e-09,1.83490482970464e-07
"ENSG00000135801",325.755011104586,0.437951963901924,0.15796173978907,2.77251924729832,0.00556242298325519,0.0411282184216445
"ENSG00000159720",1497.03235440015,-0.383447342543534,0.0868749070898686,-4.41378708062241,1.01577864784169e-05,0.000217967367156724
"ENSG00000107882",746.547366756589,-0.478452219245602,0.105602601020178,-4.53068593598544,5.87924845448001e-06,0.000133947696715924
"ENSG00000156931",831.010055205275,-0.379431688940359,0.100298866947342,-3.78301072074488,0.000154942738059812,0.00229127442949055
"ENSG00000123213",536.109436705438,0.704636027987049,0.142722819065432,4.93709438056998,7.92951019821178e-07,2.26335151468958e-05
"ENSG00000115828",346.67751842486,0.965037616813741,0.263931154741264,3.65639902481305,0.00025578309934996,0.00343648910032522
"ENSG00000132155",2894.66488502842,0.8001718598878,0.12688428397134,6.30631182084411,2.85763037076744e-10,1.79378557049668e-08
"ENSG00000136158",254.203795082922,0.646377509107441,0.192258932069422,3.36201549727762,0.000773757809026238,0.00844546041482607
"ENSG00000164330",893.415644706184,0.888461567007395,0.220538077911533,4.02860846263381,5.61079736915912e-05,0.000964547075007264
"ENSG00000135318",4268.53790749459,-0.738373739111106,0.225954624846336,-3.26779653044609,0.00108388257045489,0.0111924747616666
"ENSG00000104886",514.815160254907,0.430194500181033,0.13947300776224,3.08442835702221,0.00203943722573605,0.0188240429230842
"ENSG00000148926",17465.6494110251,0.615603373049122,0.1622904546712,3.79321984337484,0.000148706389144904,0.00221246797414583
"ENSG00000134569",77.1437162099646,-0.7741139516716,0.285195791569881,-2.71432459578184,0.00664110589577508,0.0468813112418504
"ENSG00000150636",77.1739559942658,-0.980673352305221,0.289701014381052,-3.38512225923832,0.000711465581184335,0.00789658937062115
"ENSG00000135502",45.4181333874665,0.851813872215447,0.264157949545223,3.22463841683334,0.00126131865651037,0.0126869871247931
"ENSG00000164125",7257.00808055341,1.01125444195712,0.0854260668705202,11.8377736328405,2.48974604777442e-32,1.88324391053657e-29
"ENSG00000101417",291.295276340568,-0.569142910110032,0.136484718231516,-4.17001197998306,3.04583627395422e-05,0.000571680039111408
"ENSG00000105971",1495.86646282857,0.571113318577875,0.154277002071467,3.70186943555795,0.000214016749263474,0.00297304442870324
"ENSG00000067369",2102.96945349668,-0.702204058072819,0.0961127939723369,-7.30604146493678,2.75127303231431e-13,2.87043161605868e-11
"ENSG00000091317",2266.21918474758,0.62491025176147,0.106920454204246,5.84462773201212,5.07702348665919e-09,2.4936756917591e-07
"ENSG00000137880",80.759235820225,1.51882520052932,0.265244288257722,5.72613725447529,1.0274310672987e-08,4.7824545187984e-07
"ENSG00000153721",474.879866515675,-0.713648818158128,0.235044718156693,-3.03622571804558,0.00239559954152412,0.0214950355066292
"ENSG00000137193",759.575218281802,-0.767832611712103,0.219721971868381,-3.49456454073721,0.000474835787682196,0.00576047778352547
"ENSG00000090376",646.76078551557,0.742268894726033,0.234833226317282,3.16083420717969,0.00157318014648763,0.0151876638519878
"ENSG00000162493",1067.40194872569,1.25713285043838,0.335961998106477,3.74189002781187,0.00018264144246928,0.00262642560995748
"ENSG00000132334",76.2036139387389,1.02500264752296,0.293035879804172,3.49787421324634,0.000468982266875293,0.00570850412121562
"ENSG00000132463",1709.71616334941,0.288310488942312,0.101587948453557,2.8380383040624,0.00453917350472693,0.0354144490869051
"ENSG00000162998",90.9686156276623,1.29100485829252,0.332658065553972,3.88087646737988,0.000104080700001707,0.00164872547604798
"ENSG00000157617",972.580085473845,0.951855688813644,0.251305687396854,3.78764085553903,0.000152084469188191,0.00225425664861064
"ENSG00000119673",411.404085043505,0.727032166379452,0.198125034266514,3.66956235021497,0.000242966073908306,0.0032905915542389
"ENSG00000111752",862.808714492803,-0.480718574188281,0.161906000939185,-2.96912141242279,0.00298652569710739,0.0255688515822528
"ENSG00000124006",1621.40788852432,0.365294045554624,0.131110580073418,2.78615231013446,0.00533378034556926,0.040004674798102
"ENSG00000148908",406.930993232911,-0.604894029998366,0.143453101567223,-4.21666749195319,2.4793914762867e-05,0.000482110980119091
"ENSG00000132256",546.322160338758,-0.551646694776217,0.157457509216349,-3.50346387112122,0.000459248949423857,0.00560735924687983
"ENSG00000128606",1254.18530971668,-1.24418781796696,0.369438847024483,-3.36777744946922,0.000757767379206977,0.00832474420908946
"ENSG00000100522",843.613540711497,0.303875031982336,0.0906960271182927,3.35047787248717,0.000806722544498454,0.008731219110137
"ENSG00000108829",2056.88956388404,0.48417493454634,0.154713528884494,3.12949318677758,0.0017510813332287,0.0165358042503644
"ENSG00000120802",527.465716459401,-0.551679792199622,0.139248530849857,-3.96183563900191,7.43757349479552e-05,0.00123102419944493
"ENSG00000102554",172.555485416586,1.82107897884961,0.351599679823971,5.17941023086634,2.22588493549809e-07,7.40070050642091e-06
"ENSG00000003402",3368.72335143759,1.13024893488616,0.122618308310987,9.21761970504111,3.03768365285614e-20,7.78882683057757e-18
"ENSG00000132356",2379.48217418789,0.731080059081889,0.0961094978484238,7.60674101361854,2.81093789513513e-14,3.34833610059876e-12
"ENSG00000140682",1858.07008535002,0.6180287523781,0.14271212988766,4.33059721598017,1.48705475039569e-05,0.000308589358902413
"ENSG00000157578",21.8045532256686,-0.87762352541504,0.306025418242982,-2.86781251849549,0.00413320376060833,0.0329784316932926
"ENSG00000110719",1000.67413238372,0.422380457684635,0.134670103104037,3.13640851197932,0.0017103078898598,0.0162216537666452
"ENSG00000122085",488.337995127163,-0.456415148544777,0.10898634216957,-4.18781967959478,2.81647146209288e-05,0.00053729609430695
"ENSG00000147100",1313.38399180987,-0.437085882208823,0.0896849301209353,-4.87357108512474,1.09598805901134e-06,2.98740673094118e-05
"ENSG00000136141",517.291353431475,-0.578434893785726,0.137955353480797,-4.1929137158584,2.75394211618903e-05,0.000528030878754217
"ENSG00000132357",690.690315416623,0.338081303369763,0.102304646747887,3.30465246806344,0.000950942363812267,0.0100298667982592
